verdi,tidsforskyvning,referansetid
13.3,PT6H,2024-02-23T00:00:00.000Z
0.6,PT18H,2024-02-24T00:00:00.000Z
1.7,PT6H,2024-02-24T00:00:00.000Z
4.8,PT18H,2024-02-25T00:00:00.000Z
4.9,PT6H,2024-02-25T00:00:00.000Z
0.0,PT18H,2024-02-26T00:00:00.000Z
0.3,PT6H,2024-02-26T00:00:00.000Z
0.0,PT18H,2024-02-27T00:00:00.000Z
0.0,PT6H,2024-02-27T00:00:00.000Z
0.6,PT18H,2024-02-28T00:00:00.000Z
0.6,PT6H,2024-02-28T00:00:00.000Z
6.0,PT18H,2024-02-29T00:00:00.000Z
0.0,PT6H,2024-02-29T00:00:00.000Z
9.2,PT18H,2024-03-01T00:00:00.000Z
14.1,PT6H,2024-03-01T00:00:00.000Z
4.9,PT18H,2024-03-02T00:00:00.000Z
1.7,PT6H,2024-03-02T00:00:00.000Z
10.4,PT18H,2024-03-03T00:00:00.000Z
7.5,PT6H,2024-03-03T00:00:00.000Z
0.2,PT18H,2024-03-04T00:00:00.000Z
7.4,PT6H,2024-03-04T00:00:00.000Z
0.0,PT18H,2024-03-05T00:00:00.000Z
0.0,PT6H,2024-03-05T00:00:00.000Z
0.0,PT18H,2024-03-06T00:00:00.000Z
0.0,PT6H,2024-03-06T00:00:00.000Z
0.0,PT18H,2024-03-07T00:00:00.000Z
0.0,PT6H,2024-03-07T00:00:00.000Z
0.0,PT18H,2024-03-08T00:00:00.000Z
0.0,PT6H,2024-03-08T00:00:00.000Z
0.0,PT18H,2024-03-09T00:00:00.000Z
0.0,PT6H,2024-03-09T00:00:00.000Z
0.0,PT18H,2024-03-10T00:00:00.000Z
0.0,PT6H,2024-03-10T00:00:00.000Z
0.0,PT18H,2024-03-11T00:00:00.000Z
0.0,PT6H,2024-03-11T00:00:00.000Z
0.0,PT18H,2024-03-12T00:00:00.000Z
0.0,PT6H,2024-03-12T00:00:00.000Z
2.2,PT18H,2024-03-13T00:00:00.000Z
0.0,PT6H,2024-03-13T00:00:00.000Z
2.5,PT18H,2024-03-14T00:00:00.000Z
4.7,PT6H,2024-03-14T00:00:00.000Z
18.9,PT18H,2024-03-15T00:00:00.000Z
0.7,PT6H,2024-03-15T00:00:00.000Z
14.8,PT18H,2024-03-16T00:00:00.000Z
24.3,PT6H,2024-03-16T00:00:00.000Z
0.0,PT18H,2024-03-17T00:00:00.000Z
8.7,PT6H,2024-03-17T00:00:00.000Z
0.1,PT18H,2024-03-18T00:00:00.000Z
0.0,PT6H,2024-03-18T00:00:00.000Z
0.3,PT18H,2024-03-19T00:00:00.000Z
0.1,PT6H,2024-03-19T00:00:00.000Z
1.8,PT18H,2024-03-20T00:00:00.000Z
2.1,PT6H,2024-03-20T00:00:00.000Z
0.7,PT18H,2024-03-21T00:00:00.000Z
0.0,PT6H,2024-03-21T00:00:00.000Z
3.2,PT18H,2024-03-22T00:00:00.000Z
3.9,PT6H,2024-03-22T00:00:00.000Z
0.2,PT18H,2024-03-23T00:00:00.000Z
0.0,PT6H,2024-03-23T00:00:00.000Z
0.9,PT18H,2024-03-24T00:00:00.000Z
1.1,PT6H,2024-03-24T00:00:00.000Z
3.1,PT18H,2024-03-25T00:00:00.000Z
1.3,PT6H,2024-03-25T00:00:00.000Z
1.9,PT18H,2024-03-26T00:00:00.000Z
2.4,PT6H,2024-03-26T00:00:00.000Z
2.9,PT18H,2024-03-27T00:00:00.000Z
3.4,PT6H,2024-03-27T00:00:00.000Z
0.1,PT18H,2024-03-28T00:00:00.000Z
0.9,PT6H,2024-03-28T00:00:00.000Z
7.3,PT18H,2024-03-29T00:00:00.000Z
7.0,PT6H,2024-03-29T00:00:00.000Z
1.2,PT18H,2024-03-30T00:00:00.000Z
0.4,PT6H,2024-03-30T00:00:00.000Z
5.6,PT18H,2024-03-31T00:00:00.000Z
6.6,PT6H,2024-03-31T00:00:00.000Z
0.0,PT18H,2024-04-01T00:00:00.000Z
0.2,PT6H,2024-04-01T00:00:00.000Z
0.0,PT18H,2024-04-02T00:00:00.000Z
0.0,PT6H,2024-04-02T00:00:00.000Z
0.0,PT18H,2024-04-03T00:00:00.000Z
0.0,PT6H,2024-04-03T00:00:00.000Z
3.3,PT18H,2024-04-04T00:00:00.000Z
0.0,PT6H,2024-04-04T00:00:00.000Z
4.8,PT18H,2024-04-05T00:00:00.000Z
8.0,PT6H,2024-04-05T00:00:00.000Z
2.5,PT18H,2024-04-06T00:00:00.000Z
