,verdi,tidsforskyvning,referansetid
96,-0.8,PT0H,2024-02-18T00:00:00.000Z
97,-0.1,PT6H,2024-02-18T00:00:00.000Z
98,0.1,PT0H,2024-02-19T00:00:00.000Z
99,-0.5,PT6H,2024-02-19T00:00:00.000Z
100,-0.9,PT0H,2024-02-20T00:00:00.000Z
101,-0.1,PT6H,2024-02-20T00:00:00.000Z
102,1.1,PT0H,2024-02-21T00:00:00.000Z
103,-0.3,PT6H,2024-02-21T00:00:00.000Z
104,3.6,PT0H,2024-02-22T00:00:00.000Z
105,1.7,PT6H,2024-02-22T00:00:00.000Z
106,3.5,PT0H,2024-02-23T00:00:00.000Z
107,3.9,PT6H,2024-02-23T00:00:00.000Z
108,3.2,PT0H,2024-02-24T00:00:00.000Z
109,3.3,PT6H,2024-02-24T00:00:00.000Z
110,2.7,PT0H,2024-02-25T00:00:00.000Z
111,3.0,PT6H,2024-02-25T00:00:00.000Z
112,1.7,PT0H,2024-02-26T00:00:00.000Z
113,2.6,PT6H,2024-02-26T00:00:00.000Z
114,0.9,PT0H,2024-02-27T00:00:00.000Z
115,0.7,PT6H,2024-02-27T00:00:00.000Z
116,3.5,PT0H,2024-02-28T00:00:00.000Z
117,2.0,PT6H,2024-02-28T00:00:00.000Z
118,3.8,PT0H,2024-02-29T00:00:00.000Z
119,3.8,PT6H,2024-02-29T00:00:00.000Z
120,3.8,PT0H,2024-03-01T00:00:00.000Z
121,3.9,PT6H,2024-03-01T00:00:00.000Z
122,4.2,PT0H,2024-03-02T00:00:00.000Z
123,3.8,PT6H,2024-03-02T00:00:00.000Z
124,4.2,PT0H,2024-03-03T00:00:00.000Z
125,4.2,PT6H,2024-03-03T00:00:00.000Z
126,3.5,PT0H,2024-03-04T00:00:00.000Z
127,4.0,PT6H,2024-03-04T00:00:00.000Z
128,2.7,PT0H,2024-03-05T00:00:00.000Z
129,3.2,PT6H,2024-03-05T00:00:00.000Z
130,1.1,PT0H,2024-03-06T00:00:00.000Z
131,2.1,PT6H,2024-03-06T00:00:00.000Z
132,0.9,PT0H,2024-03-07T00:00:00.000Z
133,0.0,PT6H,2024-03-07T00:00:00.000Z
134,1.5,PT0H,2024-03-08T00:00:00.000Z
135,1.1,PT6H,2024-03-08T00:00:00.000Z
136,0.9,PT0H,2024-03-09T00:00:00.000Z
137,2.7,PT6H,2024-03-09T00:00:00.000Z
138,-1.4,PT0H,2024-03-10T00:00:00.000Z
139,0.1,PT6H,2024-03-10T00:00:00.000Z
140,-0.3,PT0H,2024-03-11T00:00:00.000Z
141,-1.4,PT6H,2024-03-11T00:00:00.000Z
142,0.9,PT0H,2024-03-12T00:00:00.000Z
143,-0.3,PT6H,2024-03-12T00:00:00.000Z
144,2.3,PT0H,2024-03-13T00:00:00.000Z
145,1.6,PT6H,2024-03-13T00:00:00.000Z
146,6.2,PT0H,2024-03-14T00:00:00.000Z
147,3.5,PT6H,2024-03-14T00:00:00.000Z
148,4.3,PT0H,2024-03-15T00:00:00.000Z
149,6.0,PT6H,2024-03-15T00:00:00.000Z
150,0.7,PT0H,2024-03-16T00:00:00.000Z
151,4.2,PT6H,2024-03-16T00:00:00.000Z
152,-1.3,PT0H,2024-03-17T00:00:00.000Z
153,-1.4,PT6H,2024-03-17T00:00:00.000Z
154,-1.0,PT0H,2024-03-18T00:00:00.000Z
155,-1.2,PT6H,2024-03-18T00:00:00.000Z
156,0.7,PT0H,2024-03-19T00:00:00.000Z
157,-0.2,PT6H,2024-03-19T00:00:00.000Z
158,2.4,PT0H,2024-03-20T00:00:00.000Z
159,1.1,PT6H,2024-03-20T00:00:00.000Z
160,3.5,PT0H,2024-03-21T00:00:00.000Z
161,2.8,PT6H,2024-03-21T00:00:00.000Z
162,6.0,PT0H,2024-03-22T00:00:00.000Z
163,3.9,PT6H,2024-03-22T00:00:00.000Z
164,4.4,PT0H,2024-03-23T00:00:00.000Z
165,5.8,PT6H,2024-03-23T00:00:00.000Z
166,3.8,PT0H,2024-03-24T00:00:00.000Z
167,4.5,PT6H,2024-03-24T00:00:00.000Z
168,1.0,PT0H,2024-03-25T00:00:00.000Z
169,3.4,PT6H,2024-03-25T00:00:00.000Z
170,1.3,PT0H,2024-03-26T00:00:00.000Z
171,0.6,PT6H,2024-03-26T00:00:00.000Z
172,3.3,PT0H,2024-03-27T00:00:00.000Z
173,1.8,PT6H,2024-03-27T00:00:00.000Z
174,6.1,PT0H,2024-03-28T00:00:00.000Z
175,4.0,PT6H,2024-03-28T00:00:00.000Z
176,5.8,PT0H,2024-03-29T00:00:00.000Z
177,6.2,PT6H,2024-03-29T00:00:00.000Z
178,5.7,PT0H,2024-03-30T00:00:00.000Z
179,5.5,PT6H,2024-03-30T00:00:00.000Z
180,6.4,PT0H,2024-03-31T00:00:00.000Z
181,6.2,PT6H,2024-03-31T00:00:00.000Z
182,7.1,PT0H,2024-04-01T00:00:00.000Z
183,5.5,PT6H,2024-04-01T00:00:00.000Z
184,2.9,PT0H,2024-04-02T00:00:00.000Z
185,7.2,PT6H,2024-04-02T00:00:00.000Z
186,0.8,PT0H,2024-04-03T00:00:00.000Z
187,2.0,PT6H,2024-04-03T00:00:00.000Z
188,-2.4,PT0H,2024-04-04T00:00:00.000Z
189,0.1,PT6H,2024-04-04T00:00:00.000Z
190,-0.1,PT0H,2024-04-05T00:00:00.000Z
191,-2.3,PT6H,2024-04-05T00:00:00.000Z
192,2.5,PT0H,2024-04-06T00:00:00.000Z
193,0.6,PT6H,2024-04-06T00:00:00.000Z
194,7.0,PT0H,2024-04-07T00:00:00.000Z
195,3.6,PT6H,2024-04-07T00:00:00.000Z
196,8.6,PT0H,2024-04-08T00:00:00.000Z
197,7.6,PT6H,2024-04-08T00:00:00.000Z
198,8.4,PT0H,2024-04-09T00:00:00.000Z
199,8.5,PT6H,2024-04-09T00:00:00.000Z
200,8.3,PT0H,2024-04-10T00:00:00.000Z
201,8.6,PT6H,2024-04-10T00:00:00.000Z
202,9.9,PT0H,2024-04-11T00:00:00.000Z
203,7.9,PT6H,2024-04-11T00:00:00.000Z
204,8.4,PT0H,2024-04-12T00:00:00.000Z
205,9.8,PT6H,2024-04-12T00:00:00.000Z
206,10.2,PT0H,2024-04-13T00:00:00.000Z
207,8.7,PT6H,2024-04-13T00:00:00.000Z
208,8.3,PT0H,2024-04-14T00:00:00.000Z
209,10.3,PT6H,2024-04-14T00:00:00.000Z
210,5.9,PT0H,2024-04-15T00:00:00.000Z
211,6.6,PT6H,2024-04-15T00:00:00.000Z
212,6.2,PT0H,2024-04-16T00:00:00.000Z
213,6.7,PT6H,2024-04-16T00:00:00.000Z
214,4.6,PT0H,2024-04-17T00:00:00.000Z
215,5.4,PT6H,2024-04-17T00:00:00.000Z
216,4.5,PT0H,2024-04-18T00:00:00.000Z
217,4.9,PT6H,2024-04-18T00:00:00.000Z
218,2.8,PT0H,2024-04-19T00:00:00.000Z
219,4.2,PT6H,2024-04-19T00:00:00.000Z
220,5.0,PT0H,2024-04-20T00:00:00.000Z
221,2.6,PT6H,2024-04-20T00:00:00.000Z
222,5.6,PT0H,2024-04-21T00:00:00.000Z
223,5.8,PT6H,2024-04-21T00:00:00.000Z
224,4.1,PT0H,2024-04-22T00:00:00.000Z
225,4.6,PT6H,2024-04-22T00:00:00.000Z
226,5.7,PT0H,2024-04-23T00:00:00.000Z
227,5.1,PT6H,2024-04-23T00:00:00.000Z
228,5.5,PT0H,2024-04-24T00:00:00.000Z
229,6.2,PT6H,2024-04-24T00:00:00.000Z
230,5.0,PT0H,2024-04-25T00:00:00.000Z
231,4.9,PT6H,2024-04-25T00:00:00.000Z
232,5.9,PT0H,2024-04-26T00:00:00.000Z
233,5.2,PT6H,2024-04-26T00:00:00.000Z
234,6.3,PT0H,2024-04-27T00:00:00.000Z
235,5.3,PT6H,2024-04-27T00:00:00.000Z
236,4.9,PT0H,2024-04-28T00:00:00.000Z
237,6.9,PT6H,2024-04-28T00:00:00.000Z
238,9.0,PT0H,2024-04-29T00:00:00.000Z
239,6.1,PT6H,2024-04-29T00:00:00.000Z
240,12.0,PT0H,2024-04-30T00:00:00.000Z
241,8.9,PT6H,2024-04-30T00:00:00.000Z
242,15.9,PT0H,2024-05-01T00:00:00.000Z
243,13.4,PT6H,2024-05-01T00:00:00.000Z
244,16.0,PT0H,2024-05-02T00:00:00.000Z
245,15.9,PT6H,2024-05-02T00:00:00.000Z
246,15.5,PT0H,2024-05-03T00:00:00.000Z
247,15.6,PT6H,2024-05-03T00:00:00.000Z
248,16.3,PT0H,2024-05-04T00:00:00.000Z
249,15.3,PT6H,2024-05-04T00:00:00.000Z
250,12.5,PT0H,2024-05-05T00:00:00.000Z
251,16.5,PT6H,2024-05-05T00:00:00.000Z
252,10.5,PT0H,2024-05-06T00:00:00.000Z
253,12.7,PT6H,2024-05-06T00:00:00.000Z
254,10.9,PT0H,2024-05-07T00:00:00.000Z
255,9.7,PT6H,2024-05-07T00:00:00.000Z
256,11.6,PT0H,2024-05-08T00:00:00.000Z
257,10.7,PT6H,2024-05-08T00:00:00.000Z
258,11.9,PT0H,2024-05-09T00:00:00.000Z
259,12.3,PT6H,2024-05-09T00:00:00.000Z
260,11.2,PT0H,2024-05-10T00:00:00.000Z
261,11.4,PT6H,2024-05-10T00:00:00.000Z
262,13.5,PT0H,2024-05-11T00:00:00.000Z
263,11.1,PT6H,2024-05-11T00:00:00.000Z
264,14.2,PT0H,2024-05-12T00:00:00.000Z
