Navn;Stasjon;Tid(norsk normaltid);Middeltemperatur (mnd);Minimumstemperatur (mnd);Maksimumstemperatur (mnd);Antall dager med nedbør
Oslo - Blindern;SN18700;07.1982;18,1;7,7;30,1;4
Bergen - Florida;SN50540;08.1982;14,9;7,4;28,3;-
Oslo - Blindern;SN18700;08.1982;16,4;4,8;34,2;10
Bergen - Florida;SN50540;09.1982;11,3;3,8;18,6;-
Oslo - Blindern;SN18700;09.1982;12,1;1,6;21,4;13
Bergen - Florida;SN50540;10.1982;10,3;2,1;18,8;-
Oslo - Blindern;SN18700;10.1982;6,2;-0,6;12,6;12
Bergen - Florida;SN50540;11.1982;6,2;0,4;14,2;-
Oslo - Blindern;SN18700;11.1982;2,5;-4,2;11,2;15
Bergen - Florida;SN50540;12.1982;3,7;-4;8,8;-
Oslo - Blindern;SN18700;12.1982;-1,8;-13,6;4,8;9
Bergen - Florida;SN50540;01.1983;4,1;-2,1;9,6;29
Oslo - Blindern;SN18700;01.1983;0,7;-10,1;9,4;7
Bergen - Florida;SN50540;02.1983;1,1;-6,5;8,8;8
Oslo - Blindern;SN18700;02.1983;-4;-13,8;3,3;3
Bergen - Florida;SN50540;03.1983;4,1;-3;9;18
Oslo - Blindern;SN18700;03.1983;1,5;-6,2;10,4;7
Bergen - Florida;SN50540;04.1983;6,4;-1,3;15,6;10
Oslo - Blindern;SN18700;04.1983;5,4;-1,3;16,2;10
Bergen - Florida;SN50540;05.1983;10,1;3,2;20,2;19
Oslo - Blindern;SN18700;05.1983;10,5;3;19,4;16
Bergen - Florida;SN50540;06.1983;12,6;6,4;25,4;11
Oslo - Blindern;SN18700;06.1983;14,2;5,5;27,9;7
Bergen - Florida;SN50540;07.1983;14,8;7,2;26,3;14
Oslo - Blindern;SN18700;07.1983;17,9;6,1;29,4;7
Bergen - Florida;SN50540;08.1983;13,6;7,5;26,6;17
Oslo - Blindern;SN18700;08.1983;16,7;7,2;27,5;4
Bergen - Florida;SN50540;09.1983;11,7;2,8;24;20
Oslo - Blindern;SN18700;09.1983;11,6;-0,4;21,8;16
Bergen - Florida;SN50540;10.1983;8,3;1,2;14,5;29
Oslo - Blindern;SN18700;10.1983;7,2;-3,4;18,1;12
Bergen - Florida;SN50540;11.1983;5;-3,8;11,4;21
Oslo - Blindern;SN18700;11.1983;1,3;-9,8;14,4;5
Bergen - Florida;SN50540;12.1983;3,5;-5,1;9,7;21
Oslo - Blindern;SN18700;12.1983;-1;-12;6,1;9
Bergen - Florida;SN50540;01.1984;0,1;-11,6;9,3;16
Oslo - Blindern;SN18700;01.1984;-4,8;-18,2;6,8;13
Bergen - Florida;SN50540;02.1984;1,9;-5,4;7,8;11
Oslo - Blindern;SN18700;02.1984;-2,7;-10,5;5,6;5
Bergen - Florida;SN50540;03.1984;2,2;-4,6;9;6
Oslo - Blindern;SN18700;03.1984;-1,2;-10,6;9,1;5
Bergen - Florida;SN50540;04.1984;6,5;-0,5;16,8;14
Oslo - Blindern;SN18700;04.1984;5,8;-2,6;21,8;7
Bergen - Florida;SN50540;05.1984;11,7;1,2;24,4;11
Oslo - Blindern;SN18700;05.1984;12,4;1,4;24,8;9
Bergen - Florida;SN50540;06.1984;13,8;5,5;27,9;11
Oslo - Blindern;SN18700;06.1984;14,5;5,9;25,2;15
Bergen - Florida;SN50540;07.1984;14;6,9;26;10
Oslo - Blindern;SN18700;07.1984;16,1;7,3;25,3;9
Bergen - Florida;SN50540;08.1984;14,5;8,1;23,7;9
Oslo - Blindern;SN18700;08.1984;16,2;7,4;25,7;11
Bergen - Florida;SN50540;09.1984;11,3;3,8;18,6;10
Oslo - Blindern;SN18700;09.1984;10,1;2,8;18,2;12
Bergen - Florida;SN50540;10.1984;9,3;3;16,1;28
Oslo - Blindern;SN18700;10.1984;8,1;-0,2;14,4;16
Bergen - Florida;SN50540;11.1984;7,3;-1,5;16,9;15
Oslo - Blindern;SN18700;11.1984;2,9;-5,4;11,1;9
Bergen - Florida;SN50540;12.1984;4,8;-4,9;14;13
Oslo - Blindern;SN18700;12.1984;0,6;-8,3;7,7;12
Bergen - Florida;SN50540;01.1985;-1,3;-11;5,7;17
Oslo - Blindern;SN18700;01.1985;-8,6;-19,4;-0,6;8
Bergen - Florida;SN50540;02.1985;0,4;-8,1;8,1;13
Oslo - Blindern;SN18700;02.1985;-9,1;-24,9;3,6;8
Bergen - Florida;SN50540;03.1985;3,2;-4,7;10;14
Oslo - Blindern;SN18700;03.1985;-0,6;-8,9;7,5;13
Bergen - Florida;SN50540;04.1985;5,4;-3,9;14,1;13
Oslo - Blindern;SN18700;04.1985;2,8;-7,9;12,4;12
Bergen - Florida;SN50540;05.1985;11,5;0,3;22,8;10
Oslo - Blindern;SN18700;05.1985;11,6;2;23,4;7
Bergen - Florida;SN50540;06.1985;12,7;6,3;22;7
Oslo - Blindern;SN18700;06.1985;14;5,7;24,7;16
Bergen - Florida;SN50540;07.1985;14,8;8,5;26,2;17
Oslo - Blindern;SN18700;07.1985;16,1;7,1;26,3;15
Bergen - Florida;SN50540;08.1985;14,1;8,1;22,8;24
Oslo - Blindern;SN18700;08.1985;14,7;6;24,9;16
Bergen - Florida;SN50540;09.1985;10,1;1,7;17,2;17
Oslo - Blindern;SN18700;09.1985;9,1;-0,5;18,4;9
Bergen - Florida;SN50540;10.1985;9,7;1,7;17,2;24
Oslo - Blindern;SN18700;10.1985;7,6;-2,5;18,1;7
Bergen - Florida;SN50540;11.1985;1,4;-8,9;10,8;12
Oslo - Blindern;SN18700;11.1985;-1,1;-11,7;8,2;6
Bergen - Florida;SN50540;12.1985;1,5;-9,3;9,9;21
Oslo - Blindern;SN18700;12.1985;-6,7;-19,7;6,7;12
Bergen - Florida;SN50540;01.1986;-1,5;-11,7;5,2;11
Oslo - Blindern;SN18700;01.1986;-6,7;-21,4;1,8;14
Bergen - Florida;SN50540;02.1986;-2,2;-8,6;4,6;1
Oslo - Blindern;SN18700;02.1986;-7,4;-21,8;3,5;0
Bergen - Florida;SN50540;03.1986;4,1;-1,1;11,7;20
Oslo - Blindern;SN18700;03.1986;0,4;-11,8;8,1;11
Bergen - Florida;SN50540;04.1986;5,1;-2,5;13,9;4
Oslo - Blindern;SN18700;04.1986;2,7;-6,7;14,9;7
Bergen - Florida;SN50540;05.1986;10,5;5,3;23,7;17
Oslo - Blindern;SN18700;05.1986;10,8;3,1;23,1;10
Bergen - Florida;SN50540;06.1986;14,5;7,2;26,2;14
Oslo - Blindern;SN18700;06.1986;16,4;7,2;30,3;6
Bergen - Florida;SN50540;07.1986;13,6;7,8;24,7;17
Oslo - Blindern;SN18700;07.1986;16,5;8,2;30,4;6
Bergen - Florida;SN50540;08.1986;13,5;5,3;21,5;14
Oslo - Blindern;SN18700;08.1986;13,1;5,4;21,6;14
Bergen - Florida;SN50540;09.1986;8,8;2,2;14,9;24
Oslo - Blindern;SN18700;09.1986;8,8;-0,9;18,8;9
Bergen - Florida;SN50540;10.1986;8,7;1,2;13;26
Oslo - Blindern;SN18700;10.1986;6,8;-1,1;16,2;11
Bergen - Florida;SN50540;11.1986;6,7;1,4;14,5;24
Oslo - Blindern;SN18700;11.1986;4,2;-2,7;10,9;16
Bergen - Florida;SN50540;12.1986;2,9;-10,5;11,1;25
Oslo - Blindern;SN18700;12.1986;-1,7;-15,9;8,8;17
Bergen - Florida;SN50540;01.1987;-3;-16,3;5,4;13
Oslo - Blindern;SN18700;01.1987;-10,5;-23,2;6,3;6
Bergen - Florida;SN50540;02.1987;1,3;-7,5;6,7;16
